,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
0,25,2010,1,2,0,129.0,-16,-4.0,1020.0,2,1.79,0,0
1,26,2010,1,2,1,148.0,-15,-4.0,1020.0,2,2.68,0,0
2,27,2010,1,2,2,159.0,-11,-5.0,1021.0,2,3.57,0,0
3,28,2010,1,2,3,181.0,-7,-5.0,1022.0,2,5.36,1,0
4,29,2010,1,2,4,138.0,-7,-5.0,1022.0,2,6.25,2,0
5,30,2010,1,2,5,109.0,-7,-6.0,1022.0,2,7.14,3,0
6,31,2010,1,2,6,105.0,-7,-6.0,1023.0,2,8.93,4,0
7,32,2010,1,2,7,124.0,-7,-5.0,1024.0,2,10.72,0,0
8,33,2010,1,2,8,120.0,-8,-6.0,1024.0,2,12.51,0,0
9,34,2010,1,2,9,132.0,-7,-5.0,1025.0,2,14.3,0,0
10,35,2010,1,2,10,140.0,-7,-5.0,1026.0,2,17.43,1,0
11,36,2010,1,2,11,152.0,-8,-5.0,1026.0,2,20.56,0,0
12,37,2010,1,2,12,148.0,-8,-5.0,1026.0,2,23.69,0,0
13,38,2010,1,2,13,164.0,-8,-5.0,1025.0,2,27.71,0,0
14,39,2010,1,2,14,158.0,-9,-5.0,1025.0,2,31.73,0,0
15,40,2010,1,2,15,154.0,-9,-5.0,1025.0,2,35.75,0,0
16,41,2010,1,2,16,159.0,-9,-5.0,1026.0,2,37.54,0,0
17,42,2010,1,2,17,164.0,-8,-5.0,1027.0,2,39.33,0,0
18,43,2010,1,2,18,170.0,-8,-5.0,1027.0,2,42.46,0,0
19,44,2010,1,2,19,149.0,-8,-5.0,1028.0,2,44.25,0,0
20,45,2010,1,2,20,154.0,-7,-5.0,1028.0,2,46.04,0,0
21,46,2010,1,2,21,164.0,-7,-5.0,1027.0,2,49.17,1,0
22,47,2010,1,2,22,156.0,-8,-6.0,1028.0,2,52.3,2,0
23,48,2010,1,2,23,126.0,-8,-6.0,1027.0,2,55.43,3,0
24,49,2010,1,3,0,90.0,-7,-6.0,1027.0,2,58.56,4,0
25,50,2010,1,3,1,63.0,-8,-6.0,1026.0,2,61.69,5,0
26,51,2010,1,3,2,65.0,-8,-7.0,1026.0,2,65.71,6,0
27,52,2010,1,3,3,55.0,-8,-7.0,1025.0,2,68.84,7,0
28,53,2010,1,3,4,65.0,-8,-7.0,1024.0,2,72.86,8,0
29,54,2010,1,3,5,83.0,-9,-8.0,1024.0,2,76.88,9,0
30,55,2010,1,3,6,91.0,-10,-8.0,1024.0,2,80.9,10,0
31,56,2010,1,3,7,86.0,-10,-9.0,1024.0,2,84.92,11,0
32,57,2010,1,3,8,82.0,-10,-9.0,1024.0,2,89.84,12,0
